_id,Currency,Date,Open,High,Low,Close,Volume,Market Cap
ObjectId("5e5a946645e7ef3284237452"),bitcoin,12/05/2017,"1,845.76","1,856.15","1,694.01"
ObjectId("5e5a946645e7ef328423744c"),bitcoin,18/05/2017,"1,818.70","1,904.48","1,807.12"
ObjectId("5e5a946645e7ef328423744f"),bitcoin,15/05/2017,"1,808.44","1,812.80","1,708.54"
ObjectId("5e5a946645e7ef3284237450"),bitcoin,14/05/2017,"1,800.86","1,831.42","1,776.62"
ObjectId("5e5a946645e7ef3284237453"),bitcoin,11/05/2017,"1,780.37","1,873.93","1,755.35"
ObjectId("5e5a946645e7ef3284237454"),bitcoin,10/05/2017,"1,756.52","1,788.44","1,719.10"
ObjectId("5e5a946645e7ef328423744e"),bitcoin,16/05/2017,"1,741.70","1,785.94","1,686.54"
ObjectId("5e5a946645e7ef328423744d"),bitcoin,17/05/2017,"1,726.73","1,864.05","1,661.91"
ObjectId("5e5a946645e7ef3284237455"),bitcoin,09/05/2017,"1,723.89","1,833.49","1,716.30"
ObjectId("5e5a946645e7ef3284237451"),bitcoin,13/05/2017,"1,723.12","1,812.99","1,651.08"
ObjectId("5e5a946645e7ef3284237456"),bitcoin,08/05/2017,"1,596.92","1,723.35","1,596.92"
ObjectId("5e5a946645e7ef3284237457"),bitcoin,07/05/2017,"1,579.47","1,596.72","1,559.76"
ObjectId("5e5a946645e7ef3284237458"),bitcoin,06/05/2017,"1,556.81","1,578.80","1,542.50"
ObjectId("5e5a946645e7ef3284237459"),bitcoin,05/05/2017,"1,540.87","1,618.03","1,530.31"
ObjectId("5e5a946645e7ef328423745a"),bitcoin,04/05/2017,"1,490.72","1,608.91","1,490.72"
ObjectId("5e5a946645e7ef328423745b"),bitcoin,03/05/2017,"1,453.78","1,492.77","1,447.49"
ObjectId("5e5a946645e7ef328423745c"),bitcoin,02/05/2017,"1,421.03","1,473.90","1,415.69"
ObjectId("5e5a946645e7ef328423745d"),bitcoin,01/05/2017,"1,348.30","1,434.32","1,348.30"
ObjectId("5e5a946645e7ef328423745e"),bitcoin,30/04/2017,"1,321.87","1,347.91","1,314.92"
ObjectId("5e5a946645e7ef328423745f"),bitcoin,29/04/2017,"1,317.84","1,327.20","1,315.21"
ObjectId("5e5a946645e7ef3284237460"),bitcoin,28/04/2017,"1,317.74","1,331.28","1,292.37"
ObjectId("5e5a946645e7ef3284237461"),bitcoin,27/04/2017,"1,281.88","1,319.70","1,281.30"
ObjectId("5e5a946645e7ef3284237497"),bitcoin,04/03/2017,"1,277.43","1,279.40","1,230.51"
ObjectId("5e5a946645e7ef3284237494"),bitcoin,07/03/2017,"1,273.21","1,275.55","1,204.80"
ObjectId("5e5a946645e7ef3284237495"),bitcoin,06/03/2017,"1,267.47","1,276.00","1,264.60"
ObjectId("5e5a946645e7ef3284237462"),bitcoin,26/04/2017,"1,265.99","1,294.83","1,265.93"
ObjectId("5e5a946645e7ef3284237496"),bitcoin,05/03/2017,"1,254.29","1,267.29","1,238.06"
ObjectId("5e5a946645e7ef328423748b"),bitcoin,16/03/2017,"1,251.33","1,257.98","1,152.44"
ObjectId("5e5a946645e7ef3284237498"),bitcoin,03/03/2017,"1,250.71","1,280.31","1,250.71"
ObjectId("5e5a946645e7ef3284237463"),bitcoin,25/04/2017,"1,250.45","1,267.58","1,249.97"
ObjectId("5e5a946645e7ef328423748c"),bitcoin,15/03/2017,"1,240.16","1,251.61","1,239.75"
ObjectId("5e5a946645e7ef328423748d"),bitcoin,14/03/2017,"1,232.16","1,244.81","1,220.72"
ObjectId("5e5a946645e7ef3284237465"),bitcoin,23/04/2017,"1,231.92","1,232.20","1,203.94"
ObjectId("5e5a946645e7ef3284237467"),bitcoin,21/04/2017,"1,229.42","1,235.94","1,215.56"
ObjectId("5e5a946645e7ef3284237499"),bitcoin,02/03/2017,"1,224.68","1,262.13","1,215.62"
