_id,Currency,Date,Open,High,Low,Close,Volume,Market Cap
ObjectId("5e5a946945e7ef328423abe5"),ethereum,14/01/2018,"1,397.48","1,400.56","1,286.21"
ObjectId("5e5a946945e7ef328423abe4"),ethereum,15/01/2018,"1,365.21","1,390.59","1,290.60"
ObjectId("5e5a946945e7ef328423abe9"),ethereum,10/01/2018,"1,300.34","1,417.38","1,226.60"
ObjectId("5e5a946945e7ef328423abe3"),ethereum,16/01/2018,"1,292.63","1,292.63",875.54,"1
ObjectId("5e5a946945e7ef328423abe6"),ethereum,13/01/2018,"1,270.47","1,432.88","1,270.47"
ObjectId("5e5a946945e7ef328423abe8"),ethereum,11/01/2018,"1,268.09","1,337.30","1,135.17"
ObjectId("5e5a946945e7ef328423abd6"),ethereum,29/01/2018,"1,246.70","1,256.70","1,169.08"
ObjectId("5e5a946945e7ef328423abd5"),ethereum,30/01/2018,"1,184.13","1,184.63","1,058.97"
ObjectId("5e5a946945e7ef328423abe7"),ethereum,12/01/2018,"1,158.29","1,296.04","1,120.09"
ObjectId("5e5a946945e7ef328423abeb"),ethereum,08/01/2018,"1,158.26","1,266.93","1,016.05"
ObjectId("5e5a946945e7ef328423abde"),ethereum,21/01/2018,"1,155.68","1,155.68","1,021.50"
ObjectId("5e5a946945e7ef328423b1c3"),ethereum,05/12/2013,"1,152.73","1,154.36",897.11,"1
ObjectId("5e5a946945e7ef328423abea"),ethereum,09/01/2018,"1,146.00","1,320.98","1,145.49"
ObjectId("5e5a946945e7ef328423b1c8"),ethereum,30/11/2013,"1,129.37","1,156.14","1,106.61"
ObjectId("5e5a946945e7ef328423b1c7"),ethereum,01/12/2013,"1,128.92","1,133.08",801.82,955.85
ObjectId("5e5a946945e7ef328423abd3"),ethereum,01/02/2018,"1,119.37","1,161.35",984.82,"1
ObjectId("5e5a946945e7ef328423abd7"),ethereum,28/01/2018,"1,111.78","1,257.77","1,111.78"
ObjectId("5e5a946945e7ef328423b1c4"),ethereum,04/12/2013,"1,077.58","1,156.12","1,070.16"
ObjectId("5e5a946945e7ef328423abd4"),ethereum,31/01/2018,"1,071.09","1,128.66","1,034.50"
ObjectId("5e5a946945e7ef328423abda"),ethereum,25/01/2018,"1,063.22","1,104.66","1,034.74"
ObjectId("5e5a946945e7ef328423abe2"),ethereum,17/01/2018,"1,061.34","1,090.23",780.92,"1
ObjectId("5e5a946945e7ef328423abd8"),ethereum,27/01/2018,"1,055.75","1,121.98","1,042.12"
ObjectId("5e5a946945e7ef328423abdd"),ethereum,22/01/2018,"1,055.35","1,089.10",930.74,"1
ObjectId("5e5a946945e7ef328423abd9"),ethereum,26/01/2018,"1,052.70","1,080.60",996.78,"1
ObjectId("5e5a946945e7ef328423b1c5"),ethereum,03/12/2013,"1,046.40","1,096.00","1,011.21"
ObjectId("5e5a946945e7ef328423abdf"),ethereum,20/01/2018,"1,044.95","1,167.11","1,044.95"
ObjectId("5e5a946945e7ef328423abec"),ethereum,07/01/2018,"1,043.01","1,153.17","1,043.01"
ObjectId("5e5a946945e7ef328423b1c2"),ethereum,06/12/2013,"1,042.38","1,042.38",829.45,829.45
ObjectId("5e5a946945e7ef328423b1c9"),ethereum,29/11/2013,"1,042.01","1,146.97","1,000.64"
ObjectId("5e5a946945e7ef328423abd2"),ethereum,02/02/2018,"1,035.77","1,035.77",757.98,915.78
ObjectId("5e5a946945e7ef328423abe0"),ethereum,19/01/2018,"1,028.82","1,093.22","1,003.71"
ObjectId("5e5a946945e7ef328423abe1"),ethereum,18/01/2018,"1,016.44","1,100.31",967.76,"1
ObjectId("5e5a946945e7ef328423abdc"),ethereum,23/01/2018,"1,004.17","1,023.23",920.54,986.23
ObjectId("5e5a946945e7ef328423b1ca"),ethereum,28/11/2013,"1,003.38","1,077.56",962.17,"1
ObjectId("5e5a946945e7ef328423af15"),ethereum,21/10/2015,0.431589,0.482988,0.420897,0.447329,609085,33150826
ObjectId("5e5a946945e7ef328423af14"),ethereum,22/10/2015,0.444988,0.619466,0.420991,0.567702,924822,42085192
ObjectId("5e5a946945e7ef328423af16"),ethereum,20/10/2015,0.489629,0.501898,0.431648,0.434829,383921,32213626
ObjectId("5e5a946945e7ef328423af17"),ethereum,19/10/2015,0.517621,0.521546,0.480994,0.489014,243742,36215624
ObjectId("5e5a946945e7ef328423af1c"),ethereum,14/10/2015,0.61224,0.61224,0.483974,0.522968,971664,38665409
ObjectId("5e5a946945e7ef328423af13"),ethereum,23/10/2015,0.56637,0.611743,0.504284,0.539657,878822,40020348
ObjectId("5e5a946945e7ef328423af18"),ethereum,18/10/2015,0.547913,0.552234,0.512861,0.517734,133690,38329702
ObjectId("5e5a946945e7ef328423af1b"),ethereum,15/10/2015,0.523278,0.572714,0.51473,0.561878,371022,41556025
ObjectId("5e5a946945e7ef328423af12"),ethereum,24/10/2015,0.539681,0.577396,0.518688,0.56359,258356,41809764
ObjectId("5e5a946945e7ef328423af1a"),ethereum,16/10/2015,0.562593,0.568861,0.522533,0.536495,249891,39691829
ObjectId("5e5a946945e7ef328423af19"),ethereum,17/10/2015,0.534117,0.56346,0.526961,0.547178,313860,40496031
ObjectId("5e5a946945e7ef328423af2c"),ethereum,28/09/2015,0.723715,0.725677,0.557062,0.582886,1320890,42863006
ObjectId("5e5a946945e7ef328423af2b"),ethereum,29/09/2015,0.579414,0.67583,0.558346,0.661146,913992,48633259
ObjectId("5e5a946945e7ef328423af11"),ethereum,25/10/2015,0.563207,0.688192,0.561383,0.616039,635384,45716387
ObjectId("5e5a946945e7ef328423af22"),ethereum,08/10/2015,0.609501,0.633138,0.591971,0.621716,310266,45872837
ObjectId("5e5a946945e7ef328423af10"),ethereum,26/10/2015,0.619743,0.757517,0.597098,0.731317,1089120,54289124
ObjectId("5e5a946945e7ef328423af1d"),ethereum,13/10/2015,0.627943,0.63024,0.599214,0.607655,303044,44911718
ObjectId("5e5a946945e7ef328423af23"),ethereum,07/10/2015,0.650515,0.656301,0.602423,0.609388,218327,44947527
ObjectId("5e5a946945e7ef328423af24"),ethereum,06/10/2015,0.622218,0.653944,0.60623,0.650645,262674,47974298
ObjectId("5e5a946945e7ef328423af1f"),ethereum,11/10/2015,0.627461,0.639506,0.618335,0.634963,102128,46897253
ObjectId("5e5a946945e7ef328423af20"),ethereum,10/10/2015,0.641187,0.649022,0.624374,0.627857,141555,46356711
ObjectId("5e5a946945e7ef328423af25"),ethereum,05/10/2015,0.666784,0.674438,0.62445,0.628643,234263,46336892
ObjectId("5e5a946945e7ef328423af1e"),ethereum,12/10/2015,0.634515,0.657789,0.62603,0.62603,109567,46253823
ObjectId("5e5a946945e7ef328423af5e"),ethereum,09/08/2015,0.706136,0.87981,0.629191,0.701897,532170,42399573
ObjectId("5e5a946945e7ef328423af21"),ethereum,09/10/2015,0.655084,0.692296,0.632116,0.650628,386420,48022036
ObjectId("5e5a946945e7ef328423af2a"),ethereum,30/09/2015,0.661192,0.746722,0.635861,0.738644,619926,54351468
ObjectId("5e5a946945e7ef328423af5d"),ethereum,10/08/2015,0.713989,0.729854,0.636546,0.708448,405283,42818364
ObjectId("5e5a946945e7ef328423af28"),ethereum,02/10/2015,0.683732,0.69112,0.654605,0.678574,219318,49966502
ObjectId("5e5a946945e7ef328423af29"),ethereum,01/10/2015,0.734307,0.734307,0.655906,0.690215,596084,50805919
ObjectId("5e5a946945e7ef328423af26"),ethereum,04/10/2015,0.686343,0.693126,0.660716,0.668379,103497,49249083
ObjectId("5e5a946945e7ef328423af5c"),ethereum,11/08/2015,0.708087,1.13,0.663235,1.07,1463100,64569288
ObjectId("5e5a946945e7ef328423af27"),ethereum,03/10/2015,0.678783,0.709204,0.675482,0.687171,163326,50616972
ObjectId("5e5a946945e7ef328423af0f"),ethereum,27/10/2015,0.70889,0.898172,0.70889,0.869641,1846370,64580263
ObjectId("5e5a946945e7ef328423af2e"),ethereum,26/09/2015,0.73763,0.787544,0.709328,0.785964,369620,57759115
ObjectId("5e5a946945e7ef328423af2f"),ethereum,25/09/2015,0.820031,0.825665,0.712745,0.736223,903457,54085581
ObjectId("5e5a946945e7ef328423af5f"),ethereum,08/08/2015,2.79,2.8,0.714725,0.753325,674188,45486894
ObjectId("5e5a946945e7ef328423af2d"),ethereum,27/09/2015,0.791277,0.791277,0.719169,0.720839,413801,52990396
ObjectId("5e5a946945e7ef328423af07"),ethereum,04/11/2015,1.01,1.04,0.725665,0.89905,3060340,66947930
ObjectId("5e5a946945e7ef328423af00"),ethereum,11/11/2015,0.941296,0.945278,0.729775,0.791829,1278580,59103443
ObjectId("5e5a946945e7ef328423aeff"),ethereum,12/11/2015,0.796455,0.913919,0.76351,0.895711,806156,66880152
