_id,Currency,Date,Open,High,Low,Close,Volume,Market Cap
ObjectId("5e5a946845e7ef328423a6c0"),litecoin,14/01/2015,1.55,1.58,1.11,1.16,4721280,41173189
ObjectId("5e5a946845e7ef328423a6bf"),litecoin,15/01/2015,1.15,1.38,1.15,1.28,3487080,45680600
ObjectId("5e5a946845e7ef328423a6bc"),litecoin,18/01/2015,1.3,1.37,1.23,1.33,1694820,47586420
ObjectId("5e5a946845e7ef328423a6bd"),litecoin,17/01/2015,1.4,1.4,1.25,1.29,1514960,46126369
ObjectId("5e5a946845e7ef328423a6be"),litecoin,16/01/2015,1.28,1.47,1.27,1.4,2669280,49970739
ObjectId("5e5a946845e7ef328423a65a"),litecoin,26/04/2015,1.4,1.4,1.3,1.32,1292150,50877800
ObjectId("5e5a946845e7ef328423a6ba"),litecoin,20/01/2015,1.34,1.34,1.3,1.32,1069660,47313014
ObjectId("5e5a946845e7ef328423a6bb"),litecoin,19/01/2015,1.33,1.36,1.31,1.34,728641,47924832
ObjectId("5e5a946845e7ef328423a659"),litecoin,27/04/2015,1.32,1.4,1.32,1.38,1465060,53315728
ObjectId("5e5a946845e7ef328423a6b9"),litecoin,21/01/2015,1.32,1.37,1.32,1.37,1191370,49128866
ObjectId("5e5a946845e7ef328423a666"),litecoin,14/04/2015,1.38,1.39,1.34,1.38,1669170,52608317
ObjectId("5e5a946845e7ef328423a665"),litecoin,15/04/2015,1.38,1.42,1.35,1.38,1230190,52823691
ObjectId("5e5a946845e7ef328423a658"),litecoin,28/04/2015,1.38,1.39,1.35,1.36,1014190,52604051
ObjectId("5e5a946845e7ef328423a657"),litecoin,29/04/2015,1.36,1.37,1.35,1.36,1372440,52541853
ObjectId("5e5a946845e7ef328423a656"),litecoin,30/04/2015,1.36,1.45,1.36,1.44,2039930,55615194
ObjectId("5e5a946845e7ef328423a667"),litecoin,13/04/2015,1.47,1.48,1.37,1.38,1316410,52510703
ObjectId("5e5a946845e7ef328423a6b8"),litecoin,22/01/2015,1.37,1.45,1.37,1.42,1660700,50798988
ObjectId("5e5a946845e7ef328423a664"),litecoin,16/04/2015,1.38,1.43,1.37,1.42,1098160,54335998
ObjectId("5e5a946845e7ef328423a64f"),litecoin,07/05/2015,1.39,1.49,1.38,1.46,1742090,56494605
ObjectId("5e5a946845e7ef328423a661"),litecoin,19/04/2015,1.41,1.43,1.38,1.39,984396,53216330
ObjectId("5e5a946845e7ef328423a6b7"),litecoin,23/01/2015,1.41,1.43,1.38,1.43,1267530,51099994
ObjectId("5e5a946845e7ef328423a660"),litecoin,20/04/2015,1.38,1.42,1.38,1.41,959972,54018405
ObjectId("5e5a946845e7ef328423a651"),litecoin,05/05/2015,1.41,1.42,1.39,1.41,1229630,54527843
ObjectId("5e5a946845e7ef328423a662"),litecoin,18/04/2015,1.41,1.42,1.39,1.41,733823,53972338
ObjectId("5e5a946845e7ef328423a650"),litecoin,06/05/2015,1.41,1.41,1.39,1.39,1100820,53879048
ObjectId("5e5a946845e7ef328423a646"),litecoin,16/05/2015,1.45,1.45,1.4,1.45,757344,56521997
ObjectId("5e5a946845e7ef328423a663"),litecoin,17/04/2015,1.42,1.44,1.4,1.41,1127080,53902751
ObjectId("5e5a946845e7ef328423a654"),litecoin,02/05/2015,1.41,1.43,1.4,1.42,807758,54988482
ObjectId("5e5a946845e7ef328423a65b"),litecoin,25/04/2015,1.42,1.43,1.4,1.4,868387,53984754
ObjectId("5e5a946845e7ef328423a65f"),litecoin,21/04/2015,1.41,1.43,1.4,1.42,1055230,54632644
ObjectId("5e5a946845e7ef328423a652"),litecoin,04/05/2015,1.43,1.45,1.41,1.41,1462600,54530784
ObjectId("5e5a946845e7ef328423a653"),litecoin,03/05/2015,1.42,1.45,1.41,1.43,1673860,55458605
ObjectId("5e5a946845e7ef328423a655"),litecoin,01/05/2015,1.44,1.45,1.41,1.41,1169670,54371602
ObjectId("5e5a946845e7ef328423a6b6"),litecoin,24/01/2015,1.43,1.89,1.42,1.84,4858920,66128448
ObjectId("5e5a946845e7ef328423a65e"),litecoin,22/04/2015,1.43,1.47,1.42,1.45,1130670,55837848
ObjectId("5e5a946845e7ef328423a65c"),litecoin,24/04/2015,1.46,1.46,1.42,1.42,1008680,54573806
ObjectId("5e5a946845e7ef328423a64c"),litecoin,10/05/2015,1.45,1.45,1.42,1.44,993855,55988933
ObjectId("5e5a946845e7ef328423a64a"),litecoin,12/05/2015,1.44,1.45,1.43,1.45,723296,56333938
ObjectId("5e5a946845e7ef328423a64b"),litecoin,11/05/2015,1.44,1.45,1.43,1.44,826032,55971649
ObjectId("5e5a946845e7ef328423a669"),litecoin,11/04/2015,1.52,1.54,1.44,1.46,1329260,55562258
